T,Mag
-14.97120000548125,14.683
-14.938080005489496,14.678
-14.856960005490691,14.674
-14.822400005493364,14.682
-14.556960005495057,14.672
-14.496720005487873,14.675
-14.489280005483124,14.689
-14.410560005495995,14.684
-14.356800005489163,14.705
-14.337120005480529,14.678
-14.254560005494568,14.682
-14.253840005493657,14.675
-14.219760005494095,14.676
-14.107440005491867,14.67
-13.95744000548791,14.676
-13.95144000549044,14.676
-13.902240005488125,14.67
-13.836480005486692,14.679
-13.808160005499872,14.683
-13.648800005496014,14.682
-13.487040005492076,14.681
-13.166160005500046,14.681
-12.985200005492402,14.683
-12.969360005501358,14.679
-12.700320005481103,14.684
-12.69168000548484,14.684
-12.364800005487837,14.673
-12.043440005486104,14.68
-11.969760005485568,14.676
-11.821200005475248,14.679
-11.819040005492297,14.684
-11.722080005484372,14.684
-11.705280005495752,14.677
-11.399760005485064,14.68
-11.355120005481467,14.686
-11.321280005483004,14.678
-11.140560005487373,14.682
-11.10456000548993,14.68
-11.089200005494263,14.681
-11.023680005492224,14.672
-10.835760005478278,14.68
-10.809120005490968,14.682
-10.782000005484065,14.675
-10.724880005488103,14.681
-10.423920005494892,14.669
-10.228560005495297,14.677
-10.162080005467374,14.682
-10.128240005477437,14.679
-10.125120005488043,14.682
-10.050240005493265,14.672
-10.030320005497174,14.681
-9.978000005485683,14.676
-9.9115200054963,14.684
-9.828960005485442,14.675
-9.641760005497986,14.677
-9.563760005497443,14.679
-9.510240005482501,14.676
-9.331200005485357,14.677
-9.184080005492888,14.675
-9.080160005487869,14.676
-9.050880005481986,14.685
-9.022560005489709,14.679
-9.00288000550188,14.673
-8.905920005482017,14.679
-8.886960005491005,14.679
-8.8672800054851,14.677
-8.756400005480259,14.681
-8.718480005488004,14.675
-8.64672000548262,14.683
-8.56488000548461,14.678
-8.416560005497217,14.671
-8.25984000548533,14.686
-8.110560005478533,14.675
-8.054400005477419,14.68
-7.9548000054860495,14.673
-7.835760005474526,14.671
-7.802160005498649,14.682
-7.761120005480166,14.679
-7.643280005497672,14.674
-7.63344000549796,14.68
-7.556400005488854,14.673
-7.499520005482395,14.67
-7.4848800054893445,14.677
-7.3322400054971695,14.677
-7.19616000548433,14.683
-7.032480005495472,14.677
-6.892080005482626,14.682
-6.8431200054960755,14.679
-6.733680005491351,14.682
-6.710400005481915,14.683
-6.662160005479905,14.697
-6.590640005479713,14.68
-6.43488000548723,14.677
-6.335760005493626,14.682
-6.131040005479463,14.681
-5.826480005489884,14.674
-5.804880005487121,14.676
-5.52648000549425,14.675
-5.5137600054970335,14.681
-5.483760005475574,14.685
-5.459760005496264,14.673
-5.317200005497057,14.684
-5.23440000548203,14.676
-5.214960005484045,14.682
-5.074560005493026,14.676
-4.909680005490827,14.668
-4.825680005482582,14.681
-4.525920005480884,14.679
-4.451040005478944,14.676
-4.388880005495707,14.68
-4.325280005495642,14.676
-3.9698400054933245,14.674
-3.9225600054963934,14.685
-3.7524000054703492,14.686
-3.66576000549162,14.685
-3.420960005485881,14.686
-3.3988800054942203,14.676
-3.3499200054831135,14.69
-3.22248000549655,14.69
-3.1454400054891494,14.692
-3.053280005484453,14.694
-3.0496800054792175,14.693
-2.908800005494527,14.692
-2.706240005489576,14.699
-2.5920000054802586,14.706
-2.5836000054789565,14.708
-2.51856000548662,14.7
-2.3481600054949467,14.699
-2.184960005496009,14.702
-2.138640005493585,14.703
-2.028480005490678,14.715
-2.0126400054962232,14.706
-1.8820800054858182,14.712
-1.8597600054848726,14.713
-1.8180000054845777,14.7
-1.645920005479752,14.703
-1.567680005497209,14.708
-1.5607200054967052,14.734
-1.5007200055015346,14.712
-1.4952000055001236,14.707
-1.3473600054825283,14.708
-1.2460800054998344,14.721
-1.2456000054928609,14.701
-1.1488800054877402,14.703
-0.9667200054865361,14.703
-0.9448800055000675,14.704
-0.8541600054808214,14.71
-0.8121600054821556,14.7
-0.6424800054995785,14.708
-0.5119200054925841,14.709
-0.4845600054896977,14.701
-0.4116000054682445,14.705
-0.3381600054821092,14.71
-0.18408000547992742,14.706
-0.08568000548450527,14.715
-0.030720005499802028,14.702
-0.01872000548712549,14.708
0.027599994517686355,14.705
0.08087999451583983,14.701
0.12119999451329022,14.706
0.1283999945043206,14.709
0.2699999945212994,14.705
0.43055999451257776,14.703
0.5755199945084541,14.714
0.5791199945123253,14.703
0.7089599945129521,14.703
0.7279199945094206,14.71
0.8193599945169581,14.704
0.9357599945167294,14.705
1.0087199945054408,14.709
1.027679994511118,14.705
1.0569599945146138,14.708
1.3291199945140306,14.714
1.4625599945028398,14.707
1.628879994515728,14.703
1.8364799945072718,14.708
1.9291199945052995,14.706
1.9444799945248405,14.709
2.1359999945187838,14.704
2.1465599945112217,14.712
2.175599994517029,14.703
2.233199994507004,14.703
2.564159994509396,14.695
2.7179999945111604,14.702
2.806559994513691,14.703
3.173519994515914,14.696
3.1917599945217034,14.694
3.3880799945117133,14.687
3.573119994512126,14.684
3.62495999451869,14.684
3.7039199945076007,14.675
3.827039994519737,14.682
4.1488799945045685,14.68
4.310639994507483,14.677
4.368479994510494,14.671
4.472159994501453,14.68
4.570799994520826,14.67
4.641119994517908,14.683
4.803839994504415,14.687
4.858559994500979,14.675
4.959839994497315,14.676
5.302079994521705,14.673
5.412719994518966,14.681
5.417999994502907,14.686
5.54399999450402,14.687
5.600399994508962,14.676
5.644559994511042,14.679
5.719679994505896,14.674
5.868239994508372,14.673
5.963519994505191,14.68
6.0705599945088125,14.682
6.141839994515067,14.681
6.1471199945099215,14.685
6.239279994507456,14.677
6.301919994501418,14.679
6.452159994511931,14.683
6.580799994494782,14.674
6.759359994500301,14.678
6.782399994515117,14.675
6.85607999450815,14.676
6.881999994514672,14.68
7.07951999451052,14.679
7.130879994504653,14.673
7.257839994494475,14.676
7.2712799945130655,14.676
7.3862399945110155,14.679
7.445519994524375,14.676
7.6943999945061705,14.677
7.721519994510345,14.681
8.016479994522456,14.681
8.069999994503632,14.68
8.090879994506508,14.679
8.134079994507601,14.676
8.25335999450283,14.676
8.26559999450842,14.683
8.316479994517067,14.678
8.362799994507554,14.671
8.379119994508983,14.684
8.426159994535169,14.678
8.754719994515654,14.683
8.837999994533902,14.676
8.962559994513072,14.681
9.065519994500391,14.682
9.083519994510539,14.682
9.12287999450939,14.686
9.22487999451107,14.677
9.336719994510759,14.679
9.369599994505847,14.68
9.37991999449548,14.679
9.386159994520312,14.683
9.53735999452158,14.671
9.933119994507365,14.677
9.989759994512724,14.672
10.05551999451211,14.674
10.464719994522284,14.677
10.525919994522269,14.677
10.847279994509677,14.68
11.038319994502785,14.685
11.111759994501199,14.685
11.263439994517626,14.671
11.460479994514003,14.679
11.478959994508273,14.675
11.586479994516822,14.682
11.890079994512575,14.671
12.16967999451981,14.678
12.187919994503773,14.678
12.189119994510634,14.682
12.27647999450187,14.678
12.317759994503376,14.676
12.334079994495937,14.671
12.414719994505845,14.677
12.468239994508167,14.677
12.488399994502629,14.673
12.695039994517401,14.682
12.744239994509826,14.679
12.76751999452199,14.673
12.793679994517674,14.677
13.09919999450483,14.675
13.107119994507684,14.682
13.172159994515368,14.677
13.29767999451326,14.683
13.397999994516454,14.677
13.46519999451391,14.678
13.48271999450617,14.676
13.618559994500515,14.672
13.785839994510297,14.677
13.907039994515344,14.673
14.125199994517402,14.678
14.314559994512365,14.674
14.480879994509905,14.674
14.548079994515888,14.683
14.56295999451379,14.678
14.712239994506945,14.682
14.744639994519616,14.675
14.815439994508324,14.677
14.899199994524338,14.677
14.909279994505027,14.672
14.914799994525879,14.677
