ID,transit_epoch,period,t14,no_of_points_before_transit,no_of_points_during_transit,no_of_points_after_transit,total_number_of_points
OGLE-TR-1001,5378.183999999892,2.1093174,0.1043,7097,704,7090,14891
OGLE-TR-1002,5379.785999999847,13.197893,0.174,7631,212,7046,14889
OGLE-TR-1003,5379.341000000015,2.776225,0.1143,7051,597,7264,14912
OGLE-TR-1004,5379.842000000179,10.186892,0.1964,7493,309,7090,14892
OGLE-TR-1005,5380.546999999788,4.5659828,0.2317,7011,725,7156,14892
OGLE-TR-1006,5377.009000000078,1.8082001,0.097,7158,828,6923,14909
OGLE-TR-1007,5379.2050000000745,3.5659243,0.196,7039,781,6781,14601
OGLE-TR-1008,5416.535000000149,63.2215,0.552,6620,101,7633,14354
OGLE-TR-1009,5398.177000000142,29.549047,0.3472,7773,177,6941,14891
OGLE-TR-1010,5377.424999999814,2.2063895,0.1826,6625,1265,6672,14562
OGLE-TR-1011,5389.175999999978,16.85416,0.313,6850,269,7773,14892
OGLE-TR-1012,5379.813000000082,3.576539,0.1629,6981,631,6781,14393
OGLE-TR-1013,5390.1699999999255,23.89398,0.24,7556,146,7136,14838
OGLE-TR-1014,5379.9550000000745,12.06657,0.321,7451,367,7094,14912
OGLE-TR-1015,5377.319999999832,16.47033,0.433,7232,403,7210,14845
OGLE-TR-1016,5377.401000000071,3.918334,0.186,7191,666,6985,14842
OGLE-TR-1017,5378.310000000056,8.293105,0.1452,6474,255,7440,14169
OGLE-TR-1018,5376.7050000000745,3.795212,0.165,6146,621,6268,13035
OGLE-TR-1019,5377.6699999999255,23.07172,0.358,5002,173,5180,10355
OGLE-TR-1020,5388.595999999903,37.78747,0.313,7546,153,7330,15029
OGLE-TR-1021,5394.402999999933,50.24001,0.3439,5304,81,4955,10340
OGLE-TR-1022,5383.702000000048,8.102822,0.331,5245,398,4725,10368
OGLE-TR-1023,5378.348000000231,6.598261,0.1358,4935,192,5209,10336
OGLE-TR-1024,5377.350999999791,1.4272776,0.14,4687,1029,4629,10345
OGLE-TR-1025,5377.984000000171,6.949874,0.368,4686,520,5133,10339
OGLE-TR-1026,5376.947999999858,4.119553,0.358,4657,859,4817,10333
OGLE-TR-1027,5261.407000000123,2.624793,0.144,6652,777,6739,14168
OGLE-TR-1028,5376.757000000216,0.74714108,0.1027,6927,2238,6829,15994
OGLE-TR-1029,5261.75400000019,2.530888,0.1081,7812,707,7505,16024
OGLE-TR-1030,5388.350999999791,18.187449,0.292,5204,163,5004,10371
OGLE-TR-1031,5376.748999999836,2.420147,0.186,2393,404,2448,5245
OGLE-TR-1032,5383.972000000067,14.165438,0.3117,5079,256,5020,10355
OGLE-TR-1033,5381.55700000003,17.90918,0.3724,7724,415,7874,16013
OGLE-TR-1034,5377.524000000209,5.4047713,0.1843,4850,371,5128,10349
OGLE-TR-1035,5379.163000000175,55.27448,0.292,4775,55,4866,9696
OGLE-TR-1036,5261.038999999873,0.939421,0.0782,7275,1382,7248,15905
OGLE-TR-1037,5381.591000000015,6.535826,0.232,4919,388,4989,10296
OGLE-TR-1038,5379.148000000045,3.769846,0.436,801,194,714,1709
OGLE-TR-1039,5380.93200000003,9.158188,0.1984,7900,346,7619,15865
OGLE-TR-1040,5277.922999999952,19.496967,0.1955,8002,176,7838,16016
OGLE-TR-1041,5377.242000000086,3.0470709,0.1426,7567,829,7567,15963
OGLE-TR-1042,5267.851999999955,7.675599,0.2646,7774,579,7671,16024
OGLE-TR-1043,5378.069999999832,2.196576,0.091,4863,377,5105,10345
OGLE-TR-1044,5380.299999999814,5.1944382,0.1584,822,78,956,1856
OGLE-TR-1045,5262.467000000179,2.1355658,0.1623,699,126,718,1543
OGLE-TR-1046,5381.154000000097,10.61979,0.2896,4274,219,4328,8821
OGLE-TR-1047,5378.37900000019,10.295061,0.2507,5206,258,4907,10371
OGLE-TR-1048,5378.689999999944,5.2472019,0.1735,7737,516,7700,15953
OGLE-TR-1049,5384.333999999799,19.15773,0.737,5093,384,4892,10369
OGLE-TR-1050,5377.844000000041,1.6114682,0.1208,7369,1141,7359,15869
OGLE-TR-1051,5376.672999999952,1.0213727,0.465,4286,7048,4613,15947
OGLE-TR-1052,5377.348000000231,6.921614,0.534,7486,1255,7067,15808
OGLE-TR-1053,5273.7360000000335,3.6519106,0.1135,7257,492,7546,15295
OGLE-TR-1054,5378.537000000011,8.58268,0.342,3165,262,3275,6702
OGLE-TR-1055,5503.962999999989,2.104221,0.236,6987,1683,7102,15772
OGLE-TR-1056,5263.299999999814,7.7213,0.195,7785,373,7446,15604
OGLE-TR-1057,5378.981000000145,5.854539,0.586,4562,1095,4673,10330
OGLE-TR-1058,5382.035999999847,17.41082,0.403,4897,267,4835,9999
OGLE-TR-1059,5377.850000000093,7.208226,0.2331,4957,386,5010,10353
OGLE-TR-1060,5386.01500000013,12.83175,0.2709,4973,211,4896,10080
OGLE-TR-1061,5376.629999999888,2.652861,0.1697,4841,652,4791,10284
OGLE-TR-1062,5383.916000000201,16.52749,0.327,5140,191,5028,10359
OGLE-TR-1063,5261.39000000013,3.5835181,0.1596,7668,755,7535,15958
OGLE-TR-1064,5286.430000000168,0.6700153,0.0945,6515,2031,6365,14911
OGLE-TR-1065,5380.69700000016,4.967119,0.194,6936,541,6679,14156
OGLE-TR-1066,5386.199000000022,10.03302,0.588,6710,883,6584,14177
OGLE-TR-1067,5376.737999999896,2.573161,0.325,6147,1820,6183,14150
OGLE-TR-1068,5376.944000000134,0.68587341,0.0858,6307,1716,6090,14113
OGLE-TR-1069,5383.679000000004,10.605365,0.5105,6367,666,6557,13590
OGLE-TR-1070,5380.234000000171,1.7293835,0.1135,4506,628,4583,9717
OGLE-TR-1071,5383.137000000104,4.26703,0.458,2107,578,2306,4991
OGLE-TR-1072,5377.49599999981,1.6133902,0.0986,5182,682,5356,11220
OGLE-TR-1073,5380.819000000134,6.92345,0.402,6585,827,6764,14176
OGLE-TR-1074,5376.876999999862,0.7182068,0.0786,6303,1562,6137,14002
OGLE-TR-1075,5390.543000000063,30.55566,0.441,7056,267,6859,14182
OGLE-TR-1076,5380.23499999987,5.785527,0.2844,2894,299,3070,6263
OGLE-TR-1077,5381.544000000227,14.40827,0.255,3121,108,3086,6315
OGLE-TR-1078,5377.628000000026,4.3297076,0.2245,6613,705,6846,14164
OGLE-TR-1079,5381.44700000016,13.45047,0.554,4065,311,4049,8425
OGLE-TR-1080,5377.939999999944,4.7576944,0.2339,6913,743,6520,14176
OGLE-TR-1081,5377.515999999829,6.406942,0.1741,6812,381,6988,14181
OGLE-TR-1082,5379.00400000019,3.403645,0.379,6303,1588,6244,14135
OGLE-TR-1083,5380.63599999994,5.410081,0.1406,6908,335,6938,14181
OGLE-TR-1084,5402.311999999918,39.79726,0.2763,6958,96,7122,14176
OGLE-TR-1085,5377.854999999981,3.636724,0.129,6826,502,6829,14157
OGLE-TR-1086,5383.100000000093,6.703196,0.237,6373,539,7205,14117
OGLE-TR-1087,5378.362999999896,4.243166,0.211,6878,754,6552,14184
OGLE-TR-1088,5378.055999999866,5.0748841,0.147,6826,403,6954,14183
OGLE-TR-1089,5384.6430000001565,51.09021,0.346,3156,50,3404,6610
OGLE-TR-1090,5376.640999999829,6.555184,0.2352,6929,497,6749,14175
OGLE-TR-1091,5427.429000000004,55.74533,0.429,6703,106,7366,14175
OGLE-TR-1092,5380.163999999873,3.660176,0.212,6457,908,6707,14072
OGLE-TR-1093,5377.19700000016,1.4751354,0.134,6258,1299,6130,13687
OGLE-TR-1094,5388.401999999769,13.20038,0.312,2191,116,2416,4723
OGLE-TR-1095,5377.279999999795,0.7848204,0.0864,5983,1432,5848,13263
OGLE-TR-1096,5377.223000000231,3.437753,0.446,5988,1836,6323,14147
OGLE-TR-1097,5385.325000000186,10.756625,0.1202,6923,167,7088,14178
OGLE-TR-1098,5379.118999999948,5.880842,0.1455,6670,314,6781,13765
OGLE-TR-1099,5376.944999999832,10.46173,0.63,6563,847,6627,14037
OGLE-TR-10,2070.219,3.10129,0.128,773,87,880,1740
OGLE-TR-56,2075.1046,1.211909,0.0918,504,99,510,1113
OGLE-TR-111,2330.44687,4.0144463,0.111654,573,44,559,1176
OGLE-TR-132,2324.70067,1.68965,0.09476,494,76,474,1044
OGLE-TR-211,3428.334,3.67724,0.1838,709,238,840,1787
