ID,Hurst Exponent,alpha,KAPPA
OGLE-TR-1001,0.4768,0.020322102,1.066058543
OGLE-TR-1002,0.5915,0.034796375,1.007750269
OGLE-TR-1003,0.63845,0.007466015,0.910301231
OGLE-TR-1004,0.628,0.01578917,0.993058379
OGLE-TR-1005,0.6076,0.016372249,1.053203915
OGLE-TR-1006,0.456,0.007152291,1.040296173
OGLE-TR-1007,0.3695,0.026254056,1.037673012
OGLE-TR-1008,0.6472,0.007847632,0.955151884
OGLE-TR-1009,0.592,0.02674312,1.041968172
OGLE-TR-1010,0.4355,0.01720662,1.012270943
OGLE-TR-1011,0.4815,0.015610611,0.987782643
OGLE-TR-1012,0.4855,0.009613017,0.989675539
OGLE-TR-1013,0.5265,0.012719918,0.90131425
OGLE-TR-1014,0.6705,0.006695008,0.976926183
OGLE-TR-1015,0.5595,0.005911726,0.953824891
OGLE-TR-1016,0.512,0.004523707,0.999838884
OGLE-TR-1017,0.6565,0.030028241,1.034050368
OGLE-TR-1018,0.4375,0.011040189,1.024290985
OGLE-TR-1019,0.6485,0.052766186,0.99898032
OGLE-TR-1020,0.7059,0.051423186,1.18275948
OGLE-TR-1021,0.831,0.063482707,1.452885415
OGLE-TR-1022,0.48375,0.008083095,1.008319748
OGLE-TR-1023,0.7246,0.041145817,1.063898836
OGLE-TR-1024,0.5221,0.006770095,1.021387983
OGLE-TR-1025,0.43515,0.003367257,1.019116966
OGLE-TR-1026,0.5584,0.005220651,0.981137146
OGLE-TR-1027,0.543,0.005042783,0.981674264
OGLE-TR-1028,0.2645,0.011922177,0.985635906
OGLE-TR-1029,0.59685,0.030633367,1.03799983
OGLE-TR-1030,0.6726,0.024392366,1.036474821
OGLE-TR-1031,0.4891,0.00677733,0.994158156
OGLE-TR-1032,0.637,0.045309278,1.080296041
OGLE-TR-1033,0.43555,0.01660384,1.051556731
OGLE-TR-1034,0.56355,0.053066523,1.06157015
OGLE-TR-1035,0.8181,0.031873307,1.191578273
OGLE-TR-1036,0.38265,0.040335957,1.001601233
OGLE-TR-1037,0.5389,0.004041827,1.012157653
OGLE-TR-1038,0.52115,0.011225625,0.984708354
OGLE-TR-1039,0.4327,0.007832972,0.99124515
OGLE-TR-1040,0.7184,0.031052084,0.975667406
OGLE-TR-1041,0.56465,0.022212384,0.912737468
OGLE-TR-1042,0.57685,0.030517185,1.082587455
OGLE-TR-1043,0.60205,0.00778421,1.030293148
OGLE-TR-1044,0.672,0.115329716,1.272669864
OGLE-TR-1045,0.7315,0.076577696,1.111639467
OGLE-TR-1046,0.67795,0.036742784,1.01457632
OGLE-TR-1047,0.7129,0.033874519,1.117577391
OGLE-TR-1048,0.4108,0.042450266,1.037045031
OGLE-TR-1049,0.46675,0.002974199,0.950303217
OGLE-TR-1050,0.3607,0.037133759,1.013093668
OGLE-TR-1051,0.3688,0.003280971,0.99694704
OGLE-TR-1052,0.4412,0.004175737,0.992052868
OGLE-TR-1053,0.60385,0.026908433,1.031633714
OGLE-TR-1054,0.51385,0.006610887,0.905659589
OGLE-TR-1055,0.48115,0.00333816,0.976229917
OGLE-TR-1056,0.48685,0.004387001,0.9802569
OGLE-TR-1057,0.43495,0.012202214,1.041204218
OGLE-TR-1058,0.5818,0.005188796,0.952419672
OGLE-TR-1059,0.5979,0.016285479,1.087428365
OGLE-TR-1060,0.63845,0.037119781,1.031281855
OGLE-TR-1061,0.5324,0.022941698,0.957390758
OGLE-TR-1062,0.5432,0.010871761,0.989743834
OGLE-TR-1063,0.4521,0.026548509,1.054584752
OGLE-TR-1064,0.5124,0.008110406,0.976875798
OGLE-TR-1065,0.5324,0.007710779,0.957511797
OGLE-TR-1066,0.4711,0.005416123,0.949050411
OGLE-TR-1067,0.43665,0.005336965,1.022541236
OGLE-TR-1068,0.2695,0.015350077,1.017707801
OGLE-TR-1069,0.4298,0.038544426,0.959165917
OGLE-TR-1070,0.55905,0.035649985,0.986293878
OGLE-TR-1071,0.47855,0.0120035,1.033330287
OGLE-TR-1072,0.4877,0.019982826,1.004724349
OGLE-TR-1073,0.5287,0.003256845,0.967276441
OGLE-TR-1074,0.47495,0.007960504,0.984308221
OGLE-TR-1075,0.66225,0.039876694,1.135866484
OGLE-TR-1076,0.54025,0.035448781,1.054795278
OGLE-TR-1077,0.64255,0.009692981,1.076732661
OGLE-TR-1078,0.6233,0.01875035,1.052514401
OGLE-TR-1079,0.6014,0.007366798,0.935667149
OGLE-TR-1080,0.62225,0.011173613,0.998698519
OGLE-TR-1081,0.50855,0.015271454,1.024059607
OGLE-TR-1082,0.4276,0.009361298,1.019843198
OGLE-TR-1083,0.498,0.024235508,0.991904075
OGLE-TR-1084,0.75915,0.040407204,1.343309078
OGLE-TR-1085,0.62775,0.007980611,1.034733152
OGLE-TR-1086,0.5704,0.012656634,1.03909677
OGLE-TR-1087,0.5906,0.016947389,1.001803024
OGLE-TR-1088,0.5795,0.04024317,1.079578803
OGLE-TR-1089,0.8283,0.043706834,0.981713305
OGLE-TR-1090,0.5374,0.012932488,0.984904708
OGLE-TR-1091,0.75975,0.032243807,0.952764978
OGLE-TR-1092,0.4911,0.004662741,0.976878089
OGLE-TR-1093,0.4957,0.027925864,0.98515702
OGLE-TR-1094,0.66995,0.02452416,0.982542639
OGLE-TR-1095,0.5635,0.007217492,1.036732643
OGLE-TR-1096,0.4504,0.012801696,1.049214726
OGLE-TR-1097,0.65085,0.035918662,1.055902107
OGLE-TR-1098,0.6551,0.050780441,1.061162891
OGLE-TR-1099,0.3823,0.006752376,0.934314122
OGLE-TR-10,0.686,0.0305,1.071884311
OGLE-TR-56,0.716,0.0225,1.227138291
OGLE-TR-111,0.799,0.0416,1.093154487
OGLE-TR-132,0.715,0.0223,1.073900886
OGLE-TR-211,0.609,0.0176,1.000833595
